player,club,age,pos,pos_group,min,market_value,goals_per90,xg_90,xag_90,output_index_v0,value_index_mv,value_index_mv_log
Cédric Soares,Arsenal,31.0,DF,DEF,62.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Cesare Casadei,Chelsea,20.0,"FW,MF",ATT,79.0,10000000.0,0.0,0.0,0.12,0.009459459457328949,0.17026720542222348,0.011155760431403955
Charlie Taylor,Burnley,29.0,DF,DEF,2331.0,3000000.0,0.03861003861003861,0.01,0.05,0.011510443433828683,0.6905851709194658,0.01467036361759672
Cheick Doucouré,Crystal Palace,23.0,MF,MID,919.0,35000000.0,0.0,0.03,0.07,0.007375603155519002,0.03793147829506649,0.00807091702694007
Cheikhou Kouyaté,Nottingham Forest,33.0,MF,MID,212.0,0.0,0.0,0.12,0.02,0.009006917131196618,9006.917131196618,9006.917131196618
Chiedozie Ogbene,Luton Town,26.0,"MF,DF",MID,1995.0,8000000.0,0.1801801801801802,0.19,0.14,0.055233174331720515,1.2427184612983324,0.06605221105069271
Chris Basham,Sheffield United,35.0,"DF,MF",MID,321.0,300000.0,0.0,0.04,0.07,0.00799479820176693,4.794002519548429,0.012049965266873783
Chris Mepham,Bournemouth,25.0,DF,DEF,617.0,6000000.0,0.0,0.01,0.06,0.005348924774912401,0.16046292935949125,0.006514575399566913
Chris Richards,Crystal Palace,23.0,"DF,MF",MID,2094.0,12000000.0,0.04291845493562232,0.03,0.02,0.011159483600287162,0.16738974315816005,0.013013435744335135
Chris Wood,Nottingham Forest,31.0,FW,ATT,1812.0,7000000.0,0.6965174129353233,0.59,0.1,0.1697885248879441,4.365878374531789,0.20476680251610516
Christian Eriksen,Manchester United,31.0,MF,MID,1141.0,8000000.0,0.07874015748031496,0.08,0.18,0.03331597789676424,0.7495926368428665,0.03984188904626255
Christian Nørgaard,Brentford,29.0,MF,MID,2505.0,18000000.0,0.07194244604316546,0.12,0.07,0.025897998854340274,0.25897739876941506,0.029467507089431248
Christopher Nkunku,Chelsea,25.0,"FW,MF",ATT,443.0,65000000.0,0.6122448979591836,0.47,0.05,0.1432476902027777,0.3966848128189797,0.15135806763293266
Clément Lenglet,Aston Villa,28.0,DF,DEF,1153.0,10000000.0,0.0,0.07,0.06,0.009064095052399966,0.16315077422926327,0.010689497998081181
Cody Gakpo,Liverpool,24.0,"FW,MF",ATT,1649.0,50000000.0,0.4371584699453552,0.49,0.16,0.12164169443460889,0.4379085234939074,0.13043098718980853
Cole Palmer,Chelsea,21.0,"FW,MF",ATT,2607.0,80000000.0,0.7586206896551724,0.63,0.38,0.2055159669451381,0.4624098852043191,0.2146740757477304
Cole Palmer,Chelsea,21.0,"FW,MF",ATT,2607.0,80000000.0,0.7586206896551724,0.63,0.38,0.2055159669451381,0.4624098852043191,0.2146740757477304
Cole Palmer,Manchester City,21.0,MF,MID,11.0,80000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Cole Palmer,Manchester City,21.0,MF,MID,11.0,80000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Connor Roberts,Burnley,27.0,DF,DEF,823.0,7000000.0,0.0,0.0,0.02,0.0015765765762214914,0.04053949808717325,0.0019013684502396312
Conor Bradley,Liverpool,20.0,DF,DEF,753.0,15000000.0,0.11904761904761904,0.1,0.17,0.04102142278036195,0.4922511663503472,0.04719040220572123
Conor Gallagher,Chelsea,23.0,MF,MID,3128.0,50000000.0,0.14367816091954025,0.12,0.15,0.045116733831808725,0.16241965708374592,0.048376670185452324
