player,club,age,min,market_value,price_tier,goals_per90,xg_90,xag_90,output_index_v0,value_index_mv,value_index_mv_log
Harry Wilson,Fulham,26.000000,1620.000000,17000000.000000,MID,0.222222,0.190000,0.190000,0.066742,0.706674,0.076202
Harvey Barnes,Newcastle United,25.000000,802.000000,35000000.000000,MID,0.561798,0.400000,0.360000,0.154270,0.793383,0.168813
Harvey Elliott,Liverpool,20.000000,1352.000000,35000000.000000,MID,0.200000,0.180000,0.230000,0.065276,0.335704,0.071430
Hwang Hee-chan,Wolverhampton,27.000000,2119.000000,13000000.000000,MID,0.510638,0.330000,0.130000,0.122596,1.697461,0.142265
Ian Maatsen,Chelsea,21.000000,209.000000,40000000.000000,MID,0.000000,0.350000,0.040000,0.024825,0.111712,0.026958
Ivan Perišić,Tottenham Hotspur,34.000000,103.000000,2000000.000000,LOW,0.000000,0.100000,0.750000,0.065314,5.877692,0.085570
Ivan Toney,Brentford,27.000000,1450.000000,50000000.000000,MID,0.248447,0.370000,0.090000,0.074725,0.269010,0.080125
Jack Grealish,Manchester City,27.000000,1009.000000,60000000.000000,MID,0.267857,0.190000,0.220000,0.077321,0.231963,0.082064
Jack Harrison,Everton,26.000000,2214.000000,18000000.000000,MID,0.121951,0.140000,0.140000,0.041656,0.416556,0.047397
Jacob Brown,Luton Town,25.000000,1019.000000,4000000.000000,LOW,0.176991,0.250000,0.060000,0.052068,2.342955,0.065106
Jacob Bruun Larsen,Burnley,24.000000,1249.000000,8000000.000000,LOW,0.431655,0.360000,0.100000,0.107872,2.427060,0.129002
Jacob Murphy,Newcastle United,28.000000,1189.000000,15000000.000000,MID,0.227273,0.160000,0.370000,0.079983,0.959783,0.092011
Jacob Ramsey,Aston Villa,22.000000,853.000000,35000000.000000,MID,0.105263,0.230000,0.110000,0.041860,0.215279,0.045806
Jaden Philogene Bidace,Aston Villa,21.000000,4.000000,13000000.000000,MID,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Jadon Sancho,Manchester United,23.000000,79.000000,30000000.000000,MID,0.000000,0.000000,0.060000,0.004730,0.028378,0.005222
Jaidon Anthony,Bournemouth,23.000000,152.000000,6000000.000000,LOW,0.000000,0.040000,0.000000,0.002477,0.074301,0.003017
Jaïro Riedewald,Crystal Palace,26.000000,235.000000,3000000.000000,LOW,0.000000,0.010000,0.000000,0.000619,0.037149,0.000789
James Mcatee,Sheffield United,20.000000,1822.000000,12000000.000000,MID,0.148515,0.150000,0.150000,0.047845,0.717663,0.055794
