player,nation,pos,mp,starts,min,90s,gls,ast,g+a,g-pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg+xag,prgc,prgp,prgr,gls_90,ast_90,g+a_90,g-pk_90,g+a-pk_90,xg_90,xag_90,xg+xag_90,npxg_90,npxg+xag_90,club,season,player_clean,club_clean,goals_per90,xa_per90,ga_per90,pos_group,goals_norm,xg_norm,xag_norm,output_index_v0,annual_wage,transfer_fee,amortized_fee,cost_index_raw,cost_index_v2,value_index_v2,transfer_fee_corrected,market_value,cost_mv_raw,cost_mv,value_index_mv,cost_mv_log_raw,cost_mv_log,value_index_mv_log,age
Tosin Adarabioyo,eng ENG,DF,20,18,1617.0,18.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.7,0.7,0.1,0.8,10.0,62.0,5.0,0.11,0.0,0.11,0.11,0.11,0.04,0.01,0.05,0.04,0.05,Fulham,2023/24,tosin adarabioyo,fulham,0.1111111111111111,0.0,0.1111111111111111,DEF,0.04444444442666666,0.012383900924958545,0.002252252251744988,0.023265068465102453,2444000.0,0.0,1.0,2444000.0,0.13130728153348556,0.17717898820547365,5.0,20000000.0,20000000.0,0.1111111111111111,0.2093837317323365,16.811242881518265,0.8844081173998016,0.026305776373611672,25.0
Toti Gomes,pt POR,DF,35,31,2772.0,30.8,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,1.6,1.6,1.2,2.8,22.0,79.0,11.0,0.03,0.1,0.13,0.03,0.13,0.05,0.04,0.09,0.05,0.09,Wolverhampton,2023/24,toti gomes,wolverhampton,0.032467532467532464,0.09740259740259741,0.12987012987012986,DEF,0.01298701298181818,0.015479876156198181,0.009009009006979951,0.0120932842255008,2600000.0,0.0,1.0,2600000.0,0.13990819517105013,0.08643666494339987,5.0,13000000.0,13000000.0,0.07222222222222222,0.16744315544785873,16.380459992348886,0.861745433462424,0.014033460140834014,24.0
Trent Alexander-Arnold,eng ENG,DF,28,25,2155.0,23.9,3.0,4.0,7.0,3.0,0.0,0.0,6.0,0.0,2.6,2.3,7.2,9.5,45.0,205.0,97.0,0.13,0.17,0.29,0.13,0.29,0.11,0.3,0.41,0.1,0.4,Liverpool,2023/24,trent alexanderarnold,liverpool,0.12552301255230125,0.1673640167364017,0.29288702928870297,DEF,0.05020920500083682,0.034055727543636,0.06756756755234963,0.05305393640242614,9984000.0,0.0,1.0,9984000.0,0.5470181073491058,0.09698735508441259,5.0,70000000.0,70000000.0,0.3888888888888889,0.1364240570872347,18.064005814299346,0.9503136375768504,0.05582775883333245,24.0
Trevoh Chalobah,eng ENG,DF,13,10,952.0,10.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,5.0,31.0,9.0,0.09,0.0,0.09,0.09,0.09,0.02,0.01,0.02,0.02,0.02,Chelsea,2023/24,trevoh chalobah,chelsea,0.09433962264150944,0.0,0.09433962264150944,DEF,0.03773584904150944,0.006191950462479273,0.002252252251744988,0.019007810449285845,4004000.0,0.0,1.0,4004000.0,0.21731641790913112,0.08746565568542577,5.0,13000000.0,13000000.0,0.07222222222222222,0.2631814237088604,16.380459992348886,0.861745433462424,0.022057312581978523,24.0
Tyler Adams,us USA,MF,3,1,121.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Bournemouth,2023/24,tyler adams,bournemouth,0.0,0.0,0.0,MID,0.0,0.0,0.013513513510469928,0.0047297297286644745,2444000.0,0.0,1.0,2444000.0,0.13130728153348556,0.036020041336526996,5.0,15000000.0,15000000.0,0.08333333333333333,0.056756075671065644,16.52356082573315,0.8692737012736549,0.005441006993226087,24.0
Tyler Onyango,eng ENG,MF,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton,2023/24,tyler onyango,everton,0.0,,,MID,0.0,0.0,0.0,0.0,135200.0,0.0,1.0,135200.0,0.004013759697530126,0.0,5.0,500000.0,500000.0,0.002777777777777778,0.0,13.122365377402328,0.6903431555331028,0.0,20.0
Tyrick Mitchell,eng ENG,"DF,MF",37,37,3204.0,35.6,2.0,3.0,5.0,2.0,0.0,0.0,6.0,0.0,1.6,1.6,2.8,4.4,32.0,94.0,159.0,0.06,0.08,0.14,0.06,0.14,0.04,0.08,0.12,0.04,0.12,Crystal Palace,2023/24,tyrick mitchell,crystal palace,0.056179775280898875,0.08426966292134831,0.14044943820224717,MID,0.022471910103370785,0.012383900924958545,0.018018018013959903,0.01889544603639453,1924000.0,0.0,1.0,1924000.0,0.10263756940827037,0.1840969349566166,5.0,25000000.0,25000000.0,0.1388888888888889,0.1360462319291707,17.034386422832473,0.8961472827116408,0.02108517797882634,23.0
Tyrone Mings,eng ENG,DF,1,1,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,Aston Villa,2023/24,tyrone mings,aston villa,0.0,0.0,0.0,DEF,0.0,0.006191950462479273,0.015765765762214917,0.006756408109271075,3744000.0,22.3,4.46,3744004.46,0.20298180774443908,0.03328561755721488,22.3,13000000.0,13000000.0,0.07222222222222222,0.09354897083492641,16.380459992348886,0.861745433462424,0.007840366779499626,30.0
Łukasz Fabiański,pl POL,GK,10,7,721.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham United,2023/24,ukasz fabianski,west ham united,0.0,0.0,0.0,GK,0.0,0.0,0.0,0.0,3120000.0,0.0,1.0,3120000.0,0.16857790729626532,0.0,5.0,13000000.0,13000000.0,0.07222222222222222,0.0,16.380459992348886,0.861745433462424,0.0,38.0
Valentín Barco,ar ARG,"DF,FW",6,3,307.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,8.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.13,0.05,0.13,Brighton,2023/24,valentin barco,brighton,0.0,0.0,0.0,ATT,0.0,0.015479876156198181,0.015765765762214917,0.008613993248014857,2600000.0,0.0,1.0,2600000.0,0.13990819517105013,0.06156845686578044,5.0,13000000.0,13000000.0,0.07222222222222222,0.11926902432448432,16.380459992348886,0.861745433462424,0.009995972032520707,19.0
